n_merchants,view,campaign_share_largest_merchant,pr_auc,precision,recall,false_positives,detected
1,gateway,1.0,0.9996201363173663,0.9899749373433584,0.9875,4,True
1,merchant,1.0,0.9996201363173663,0.9899749373433584,0.9875,4,True
2,gateway,0.5,0.9987133362409744,0.9777227722772277,0.9875,9,True
2,merchant,0.5,0.9947532579936615,0.9772727272727273,0.9675,9,True
4,gateway,0.27,0.9942399876976902,0.9491525423728814,0.98,21,True
4,merchant,0.27,0.9818457071147644,0.9464285714285714,0.9275,21,True
8,gateway,0.1425,0.9912558198017505,0.8730512249443207,0.98,57,True
8,merchant,0.1425,0.9458700149496216,0.8665105386416861,0.925,57,True
16,gateway,0.0825,0.9842520239750728,0.7828685258964143,0.9825,109,True
16,merchant,0.0825,0.8917873740376698,0.7695560253699789,0.91,109,True
