camouflage,variant,pr_auc,precision,recall,false_positives
0.0,full,1.0,0.9431,1.0,24.0
0.5,full,0.9967,0.9424,0.9875,24.0
1.0,full,0.9892,0.9417,0.9675,24.0
0.0,no_gate,0.9999,0.9592,1.0,17.0
0.5,no_gate,0.9989,0.9589,0.9925,17.0
1.0,no_gate,0.9943,0.9584,0.98,17.0
0.0,uniform_relation_attention,0.9999,0.939,1.0,26.0
0.5,uniform_relation_attention,0.9965,0.9382,0.985,26.0
1.0,uniform_relation_attention,0.9861,0.9367,0.96,26.0
0.0,one_layer,0.9984,0.907,1.0,41.0
0.5,one_layer,0.9742,0.9035,0.94,41.0
1.0,one_layer,0.9487,0.8876,0.86,41.0
