seed,camouflage,variant,pr_auc,precision,recall,false_positives
0,0.0,full,1.0,0.9569,1.0,18
0,0.5,full,0.9988,0.9568,0.9975,18
0,1.0,full,0.9933,0.9541,0.9875,19
0,0.0,no_gate,1.0,0.9685,1.0,13
0,0.5,no_gate,0.9996,0.9685,1.0,13
0,1.0,no_gate,0.9972,0.9682,0.99,13
0,0.0,uniform_relation_attention,0.9999,0.9524,1.0,20
0,0.5,uniform_relation_attention,0.9983,0.9523,0.9975,20
0,1.0,uniform_relation_attention,0.9914,0.9515,0.98,20
0,0.0,one_layer,0.9965,0.8621,1.0,64
0,0.5,one_layer,0.9645,0.8545,0.94,64
0,1.0,one_layer,0.9261,0.8462,0.88,64
1,0.0,full,1.0,0.9217,1.0,34
1,0.5,full,0.9967,0.9229,0.9875,33
1,1.0,full,0.9871,0.9179,0.95,34
1,0.0,no_gate,0.9998,0.9569,1.0,18
1,0.5,no_gate,0.9946,0.9553,0.9625,18
1,1.0,no_gate,0.9821,0.953,0.9125,18
1,0.0,uniform_relation_attention,1.0,0.9195,1.0,35
1,0.5,uniform_relation_attention,0.9965,0.9206,0.985,34
1,1.0,uniform_relation_attention,0.9861,0.9177,0.9475,34
1,0.0,one_layer,0.9984,0.907,1.0,41
1,0.5,one_layer,0.9794,0.9035,0.96,41
1,1.0,one_layer,0.9496,0.8935,0.86,41
2,0.0,full,1.0,0.9615,1.0,16
2,0.5,full,0.9962,0.9612,0.99,16
2,1.0,full,0.9892,0.9603,0.9675,16
2,0.0,no_gate,1.0,0.9592,1.0,17
2,0.5,no_gate,0.9989,0.9589,0.9925,17
2,1.0,no_gate,0.9943,0.9584,0.98,17
2,0.0,uniform_relation_attention,1.0,0.9456,1.0,23
2,0.5,uniform_relation_attention,0.994,0.9422,0.9775,24
2,1.0,uniform_relation_attention,0.9839,0.9398,0.9375,24
2,0.0,one_layer,0.9925,0.9319,0.9925,29
2,0.5,one_layer,0.8647,0.9076,0.7125,29
2,1.0,one_layer,0.8075,0.8876,0.5925,30
3,0.0,full,0.9999,0.9368,1.0,27
3,0.5,full,0.9975,0.936,0.9875,27
3,1.0,full,0.9912,0.9346,0.965,27
3,0.0,no_gate,0.9999,0.9639,1.0,15
3,0.5,no_gate,0.9984,0.9635,0.99,15
3,1.0,no_gate,0.9948,0.9627,0.9675,15
3,0.0,uniform_relation_attention,0.9999,0.939,1.0,26
3,0.5,uniform_relation_attention,0.9975,0.9382,0.9875,26
3,1.0,uniform_relation_attention,0.9898,0.9367,0.9625,26
3,0.0,one_layer,0.9997,0.9215,0.9975,34
3,0.5,one_layer,0.9791,0.9148,0.9125,34
3,1.0,one_layer,0.9487,0.9048,0.8075,34
4,0.0,full,0.9992,0.9431,0.995,24
4,0.5,full,0.9959,0.9424,0.9825,24
4,1.0,full,0.9882,0.9417,0.97,24
4,0.0,no_gate,0.9998,0.9501,1.0,21
4,0.5,no_gate,0.9992,0.9501,1.0,21
4,1.0,no_gate,0.9926,0.9494,0.985,21
4,0.0,uniform_relation_attention,0.9991,0.9171,0.995,36
4,0.5,uniform_relation_attention,0.9947,0.9163,0.985,36
4,1.0,uniform_relation_attention,0.9848,0.9143,0.96,36
4,0.0,one_layer,0.999,0.8811,1.0,54
4,0.5,one_layer,0.9742,0.8753,0.9475,54
4,1.0,one_layer,0.9496,0.8692,0.8975,54
