profile,stream,events,false_alerts,false_alert_rate,false_incidents,largest_false_incident,distinct_bins,top_bin_share,bins_over_link_cap
base,0,6000,6,0.001,6,1,120,0.1563,9
base,1,6000,10,0.00167,10,1,120,0.1462,9
base,2,6000,6,0.001,6,1,120,0.1462,8
base,3,6000,3,0.0005,3,1,120,0.1455,9
base,4,6000,6,0.001,6,1,120,0.1468,8
base,5,6000,7,0.00117,7,1,120,0.157,8
bin_dense,0,6000,2,0.00033,2,1,12,0.4297,9
bin_dense,1,6000,3,0.0005,3,1,12,0.419,10
bin_dense,2,6000,1,0.00017,1,1,12,0.4142,11
bin_dense,3,6000,0,0.0,0,0,12,0.418,11
bin_dense,4,6000,1,0.00017,1,1,12,0.4192,11
bin_dense,5,6000,0,0.0,0,0,12,0.4313,10
