seed,hidden,layers,params,select_cost_inr,test_cost_inr,test_pr_auc,test_precision,test_recall,test_false_positives
0,16,1,427,4544.0,7751.0,0.8989,0.8994,0.7825,35
0,16,2,1487,1617.0,1085.0,0.9943,0.9564,0.9875,18
0,16,3,2547,786.0,666.0,0.9991,0.9684,0.995,13
0,32,1,843,4294.0,6053.0,0.9074,0.8945,0.8475,40
0,32,2,5007,1351.0,1045.0,0.9968,0.9587,0.9875,17
0,32,3,9171,845.0,645.0,0.999,0.9826,0.9875,7
0,64,1,1675,3244.0,4398.0,0.9573,0.9316,0.885,26
0,64,2,18191,939.0,706.0,0.9974,0.966,0.995,14
0,64,3,34707,706.0,506.0,0.9988,0.9779,0.995,9
1,16,1,427,4082.0,6517.0,0.9066,0.8995,0.8275,37
1,16,2,1487,1617.0,2168.0,0.9885,0.9389,0.96,25
1,16,3,2547,993.0,1106.0,0.9968,0.9431,0.995,24
1,32,1,843,3816.0,6171.0,0.9254,0.9123,0.8325,32
1,32,2,5007,1292.0,2142.0,0.9893,0.9324,0.965,28
1,32,3,9171,906.0,1071.0,0.9956,0.9656,0.9825,14
1,64,1,1675,3543.0,5321.0,0.9467,0.922,0.8575,29
1,64,2,18191,546.0,546.0,0.9983,0.9755,0.995,10
1,64,3,34707,506.0,871.0,0.9989,0.9776,0.9825,9
2,16,1,427,4789.0,7278.0,0.8998,0.9263,0.785,25
2,16,2,1487,1111.0,1848.0,0.9904,0.9576,0.96,17
2,16,3,2547,652.0,452.0,0.9994,0.99,0.99,4
2,32,1,843,4026.0,5606.0,0.91,0.926,0.845,27
2,32,2,5007,600.0,513.0,0.9977,0.9732,0.9975,11
2,32,3,9171,466.0,379.0,0.9993,0.99,0.9925,4
2,64,1,1675,2983.0,4085.0,0.949,0.9467,0.8875,20
2,64,2,18191,772.0,845.0,0.9973,0.9705,0.9875,12
2,64,3,34707,680.0,513.0,0.9992,0.9732,0.9975,11
3,16,1,427,4191.0,7151.0,0.9015,0.9399,0.7825,20
3,16,2,1487,1118.0,1742.0,0.9933,0.9554,0.965,18
3,16,3,2547,480.0,1118.0,0.9967,0.9586,0.985,17
3,32,1,843,3310.0,4636.0,0.9395,0.9431,0.87,21
3,32,2,5007,360.0,666.0,0.997,0.9684,0.995,13
3,32,3,9171,320.0,546.0,0.9957,0.9755,0.995,10
3,64,1,1675,2432.0,4304.0,0.9561,0.9462,0.88,20
3,64,2,18191,433.0,593.0,0.9969,0.9684,0.9975,13
3,64,3,34707,360.0,732.0,0.9958,0.973,0.99,11
4,16,1,427,5836.0,9957.0,0.8021,0.8534,0.7275,50
4,16,2,1487,1869.0,2361.0,0.9872,0.9319,0.9575,28
4,16,3,2547,1810.0,2189.0,0.9876,0.9258,0.9675,31
4,32,1,843,3449.0,5674.0,0.9322,0.9048,0.855,36
4,32,2,5007,673.0,892.0,0.9935,0.9635,0.99,15
4,32,3,9171,440.0,805.0,0.9978,0.9729,0.9875,11
4,64,1,1675,3275.0,5267.0,0.9505,0.9342,0.8525,24
4,64,2,18191,878.0,1389.0,0.9968,0.9724,0.9675,11
4,64,3,34707,673.0,939.0,0.9976,0.9566,0.9925,18
