family,capacity,params,seed,pr_auc
per-event GBDT,50 trees x 31 leaves,1550,0,0.16350676809960948
per-event GBDT,300 trees x 31 leaves,9300,0,0.14144601009803776
per-event GBDT,1500 trees x 63 leaves,94500,0,0.10449259238761271
per-event GBDT,4000 trees x 255 leaves,1020000,0,0.10999852040370785
per-event net,8 wide x 1 deep,219,0,0.1586042055979248
graph net,8 wide x 1 deep,219,0,0.5473857636300563
per-event net,32 wide x 2 deep,5007,0,0.15030769407168013
graph net,32 wide x 2 deep,5007,0,0.9611437378236665
per-event net,32 wide x 3 deep,9171,0,0.17140720502563375
graph net,32 wide x 3 deep,9171,0,0.9733379670419136
per-event net,128 wide x 3 deep,134931,0,0.20640972807824942
graph net,128 wide x 3 deep,134931,0,0.9763900675254619
per-event net,256 wide x 3 deep,531987,0,0.024390243902439025
graph net,256 wide x 3 deep,531987,0,0.7004806857244726
per-event GBDT,50 trees x 31 leaves,1550,1,0.28905117319440293
per-event GBDT,300 trees x 31 leaves,9300,1,0.2571725706661656
per-event GBDT,1500 trees x 63 leaves,94500,1,0.22435479404487121
per-event GBDT,4000 trees x 255 leaves,1020000,1,0.2233017072815465
per-event net,8 wide x 1 deep,219,1,0.16205832668973605
graph net,8 wide x 1 deep,219,1,0.6774726723710556
per-event net,32 wide x 2 deep,5007,1,0.23700555856651265
graph net,32 wide x 2 deep,5007,1,0.9665655246805057
per-event net,32 wide x 3 deep,9171,1,0.31002338731868584
graph net,32 wide x 3 deep,9171,1,0.9914616488200236
per-event net,128 wide x 3 deep,134931,1,0.32791383286728804
graph net,128 wide x 3 deep,134931,1,0.9894398523944063
per-event net,256 wide x 3 deep,531987,1,0.047820270450630205
graph net,256 wide x 3 deep,531987,1,0.038461538461538464
per-event GBDT,50 trees x 31 leaves,1550,2,0.334757955840774
per-event GBDT,300 trees x 31 leaves,9300,2,0.3028909311941766
per-event GBDT,1500 trees x 63 leaves,94500,2,0.28741632033231634
per-event GBDT,4000 trees x 255 leaves,1020000,2,0.2765501214004746
per-event net,8 wide x 1 deep,219,2,0.3233000540452204
graph net,8 wide x 1 deep,219,2,0.8176555438385903
per-event net,32 wide x 2 deep,5007,2,0.3292475389468786
graph net,32 wide x 2 deep,5007,2,0.9967648633861518
per-event net,32 wide x 3 deep,9171,2,0.36070379020248466
graph net,32 wide x 3 deep,9171,2,0.9978026225500201
per-event net,128 wide x 3 deep,134931,2,0.3984967221875143
graph net,128 wide x 3 deep,134931,2,0.9952835711879133
per-event net,256 wide x 3 deep,531987,2,0.391219125666627
graph net,256 wide x 3 deep,531987,2,0.05956112852664577
