profile,stream,psi,psi_threshold,drifted,largest_shift,incidents,auto_actions_raw,false_auto_actions_raw,false_escalations_avoided,true_responses_downgraded,analyst_minutes_added
base,0,0.1612,0.1621,False,reuse_bin,25,8,0,0,0,0.0
base,1,0.032,0.1621,False,reuse_device,10,1,0,0,0,0.0
base,2,0.1413,0.1621,False,reuse_bin,5,2,1,0,0,0.0
subscription,0,0.586,0.1621,True,reuse_device,28,9,1,1,8,84.0
subscription,1,0.4606,0.1621,True,reuse_device,13,3,2,2,1,24.0
subscription,2,0.5835,0.1621,True,reuse_device,8,1,0,0,1,0.0
marketplace,0,1.0275,0.1621,True,reuse_ip,42,8,0,0,8,72.0
marketplace,1,0.9245,0.1621,True,reuse_ip,36,1,0,0,1,0.0
marketplace,2,0.8466,0.1621,True,reuse_ip,23,2,1,1,1,12.0
flash_sale,0,0.4342,0.1621,True,log_interarrival,38,9,1,1,8,84.0
flash_sale,1,0.2944,0.1621,True,log_interarrival,19,3,2,2,1,24.0
flash_sale,2,0.4004,0.1621,True,log_interarrival,17,4,3,3,1,36.0
bin_dense,0,0.6309,0.1621,True,reuse_bin,20,8,0,0,8,72.0
bin_dense,1,0.6356,0.1621,True,reuse_bin,2,1,0,0,1,0.0
bin_dense,2,0.619,0.1621,True,reuse_bin,1,1,0,0,1,0.0
