n,k,velocity_detected,koronis_detected,predicted_k_boundary,velocity_blind_predicted,tau_max
200,2,True,True,22.22222222222222,False,9
200,10,True,True,22.22222222222222,False,9
200,50,False,True,22.22222222222222,True,9
200,200,False,True,22.22222222222222,True,9
400,2,True,True,44.44444444444444,False,9
400,10,True,True,44.44444444444444,False,9
400,50,False,True,44.44444444444444,True,9
400,200,False,True,44.44444444444444,True,9
800,2,True,True,88.88888888888889,False,9
800,10,True,True,88.88888888888889,False,9
800,50,True,True,88.88888888888889,False,9
800,200,False,True,88.88888888888889,True,9
1600,2,True,True,177.77777777777777,False,9
1600,10,True,True,177.77777777777777,False,9
1600,50,True,True,177.77777777777777,False,9
1600,200,False,True,177.77777777777777,True,9
