incident_id,risk,n_attempts,n_devices,n_ips,n_bins,observed_at_decision,forecast_remaining_p50,forecast_remaining_p90,forecast_exposure_p50_inr,forecast_exposure_p90_inr,forecast_uncertain,true_remaining_attempts,true_remaining_exposure_inr,genuine,action,oracle_action,option_costs,oracle_option_costs,t_start
INC-000,1.0,408,72,72,72,12,352.7,981.1,25743.65,71623.11,False,400,29200.0,True,hold_review,hold_review,"{'monitor': 25768.95, 'rate_limit': 11716.03, 'step_up': 4215.35, 'hold_review': 1781.08}","{'monitor': 29199.94, 'rate_limit': 13259.97, 'step_up': 4729.99, 'hold_review': 1884.01}",83.87
INC-001,0.0728,1,1,1,1,1,651.6,939.1,47568.56,68551.49,False,0,0.0,False,monitor,monitor,"{'monitor': 249.88, 'rate_limit': 603.31, 'step_up': 2056.39, 'hold_review': 6578.52}","{'monitor': 0.0, 'rate_limit': 490.87, 'step_up': 2018.91, 'hold_review': 6571.03}",96.51
INC-002,0.0719,1,1,1,1,1,571.4,867.5,41711.96,63325.27,False,0,0.0,False,monitor,monitor,"{'monitor': 215.21, 'rate_limit': 588.08, 'step_up': 2052.85, 'hold_review': 6583.02}","{'monitor': 0.0, 'rate_limit': 491.24, 'step_up': 2020.57, 'hold_review': 6576.57}",221.53
INC-003,0.0723,1,1,1,1,1,571.4,867.5,41711.96,63325.27,False,0,0.0,False,monitor,monitor,"{'monitor': 216.53, 'rate_limit': 588.5, 'step_up': 2052.26, 'hold_review': 6580.42}","{'monitor': 0.0, 'rate_limit': 491.06, 'step_up': 2019.78, 'hold_review': 6573.92}",322.21
INC-004,0.0681,1,1,1,1,1,571.4,867.5,41711.96,63325.27,False,0,0.0,False,monitor,monitor,"{'monitor': 193.78, 'rate_limit': 579.98, 'step_up': 2056.55, 'hold_review': 6605.42}","{'monitor': 0.0, 'rate_limit': 492.77, 'step_up': 2027.48, 'hold_review': 6599.61}",6660.67
INC-005,0.0706,1,1,1,1,1,342.5,749.8,25001.63,54733.63,False,0,0.0,False,monitor,monitor,"{'monitor': 123.67, 'rate_limit': 547.42, 'step_up': 2041.49, 'hold_review': 6588.19}","{'monitor': 0.0, 'rate_limit': 491.77, 'step_up': 2022.94, 'hold_review': 6584.48}",6727.51
INC-006,0.1339,2,1,2,2,2,467.6,977.0,34138.01,71319.9,False,0,0.0,False,monitor,monitor,"{'monitor': 615.85, 'rate_limit': 743.57, 'step_up': 2001.34, 'hold_review': 6223.02}","{'monitor': 0.0, 'rate_limit': 466.44, 'step_up': 1908.96, 'hold_review': 6204.55}",8206.39
INC-007,0.0728,1,1,1,1,1,651.6,939.1,47568.56,68551.49,False,0,0.0,False,monitor,monitor,"{'monitor': 249.84, 'rate_limit': 603.3, 'step_up': 2056.4, 'hold_review': 6578.58}","{'monitor': 0.0, 'rate_limit': 490.87, 'step_up': 2018.93, 'hold_review': 6571.09}",10355.35
INC-008,0.0732,1,1,1,1,1,651.6,917.1,47568.56,66946.91,False,0,0.0,False,monitor,monitor,"{'monitor': 256.54, 'rate_limit': 606.16, 'step_up': 2056.7, 'hold_review': 6576.42}","{'monitor': 0.0, 'rate_limit': 490.72, 'step_up': 2018.22, 'hold_review': 6568.73}",10746.53
INC-009,0.0729,1,1,1,1,1,651.6,940.5,47568.56,68653.05,False,0,0.0,False,monitor,monitor,"{'monitor': 255.58, 'rate_limit': 605.83, 'step_up': 2057.05, 'hold_review': 6578.03}","{'monitor': 0.0, 'rate_limit': 490.82, 'step_up': 2018.71, 'hold_review': 6570.36}",13359.51
INC-010,0.0732,1,1,1,1,1,651.6,917.1,47568.56,66946.91,False,0,0.0,False,monitor,monitor,"{'monitor': 256.38, 'rate_limit': 606.11, 'step_up': 2056.75, 'hold_review': 6576.68}","{'monitor': 0.0, 'rate_limit': 490.73, 'step_up': 2018.3, 'hold_review': 6568.99}",13789.23
