detector,threshold,t_seconds,precision,recall,detected,inr_prevented
velocity_tuned,1.0,60,0.0,0.0,False,0.0
velocity_tuned,1.0,300,0.0,0.0,False,0.0
velocity_tuned,1.0,600,0.0,0.0,False,0.0
velocity_tuned,1.0,1200,0.0,0.0,False,0.0
velocity_tuned,1.0,1800,0.0,0.0,False,0.0
velocity_tuned,1.0,2400,0.0,0.0,False,0.0
velocity_tuned,1.0,3000,0.0,0.0,False,0.0
velocity_tuned,1.0,3600,0.0,0.0,False,0.0
decline_burst,0.5556,60,0.3684210526315789,0.7,True,28470.0
decline_burst,0.5556,300,0.7446808510638298,0.9210526315789473,True,26426.0
decline_burst,0.5556,600,0.8395061728395061,0.9577464788732394,True,24017.0
decline_burst,0.5556,1200,0.9,0.9782608695652174,True,19126.0
decline_burst,0.5556,1800,0.91324200913242,0.9852216748768473,True,14381.0
decline_burst,0.5556,2400,0.9264214046822743,0.9892857142857143,True,8760.0
decline_burst,0.5556,3000,0.935933147632312,0.9911504424778761,True,4453.0
decline_burst,0.5556,3600,0.9385342789598109,0.9925,True,0.0
shared_entity,2.9948,60,0.0,0.0,False,0.0
shared_entity,2.9948,300,0.0,0.0,False,0.0
shared_entity,2.9948,600,0.8636363636363636,0.2676056338028169,True,24017.0
shared_entity,2.9948,1200,0.9529411764705882,0.5869565217391305,True,19126.0
shared_entity,2.9948,1800,0.948051948051948,0.7192118226600985,True,14381.0
shared_entity,2.9948,2400,0.9529914529914529,0.7964285714285714,True,8760.0
shared_entity,2.9948,3000,0.9591836734693877,0.831858407079646,True,4453.0
shared_entity,2.9948,3600,0.9581005586592178,0.8575,True,0.0
gbdt_per_txn,0.5256,60,0.42857142857142855,0.3,True,28470.0
gbdt_per_txn,0.5256,300,0.7647058823529411,0.34210526315789475,True,26426.0
gbdt_per_txn,0.5256,600,0.92,0.647887323943662,True,24017.0
gbdt_per_txn,0.5256,1200,0.9495798319327731,0.8188405797101449,True,19126.0
gbdt_per_txn,0.5256,1800,0.9513513513513514,0.8669950738916257,True,14381.0
gbdt_per_txn,0.5256,2400,0.9653846153846154,0.8964285714285715,True,8760.0
gbdt_per_txn,0.5256,3000,0.9685534591194969,0.9085545722713865,True,4453.0
gbdt_per_txn,0.5256,3600,0.968421052631579,0.92,True,0.0
koronis_graph,0.411,60,0.8333333333333334,0.5,True,28470.0
koronis_graph,0.411,300,0.96875,0.8157894736842105,True,26426.0
koronis_graph,0.411,600,0.984375,0.8873239436619719,True,24017.0
koronis_graph,0.411,1200,0.9923076923076923,0.9347826086956522,True,19126.0
koronis_graph,0.411,1800,0.9948717948717949,0.9556650246305419,True,14381.0
koronis_graph,0.411,2400,0.9963235294117647,0.9678571428571429,True,8760.0
koronis_graph,0.411,3000,0.9969788519637462,0.9734513274336283,True,4453.0
koronis_graph,0.411,3600,0.9974489795918368,0.9775,True,0.0
