seed,variant,pr_auc,precision,recall,false_positives,detect_s
0,koronis_full,0.991,0.9451,0.99,23,0.0
0,no_edges,0.3341,0.4565,0.97,462,0.0
0,no_approved,0.7592,0.8177,0.8075,72,527.5
0,no_edges_no_approved,0.0568,0.0,0.0,3,
1,koronis_full,0.9871,0.9301,0.965,29,0.0
1,no_edges,0.3242,0.4528,0.96,464,0.0
1,no_approved,0.6355,0.714,0.9175,147,0.0
1,no_edges_no_approved,0.0613,0.0,0.0,0,
2,koronis_full,0.9855,0.9362,0.99,27,0.0
2,no_edges,0.3256,0.4358,0.975,505,0.0
2,no_approved,0.742,0.7337,0.73,106,459.9
2,no_edges_no_approved,0.0602,0.0,0.0,3,
3,koronis_full,0.9919,0.949,0.9775,21,0.0
3,no_edges,0.3468,0.457,0.9575,455,0.0
3,no_approved,0.7124,0.7054,0.85,142,0.0
3,no_edges_no_approved,0.0615,0.0,0.0,0,
4,koronis_full,0.984,0.9329,0.9725,28,0.0
4,no_edges,0.3558,0.4537,0.9675,466,0.0
4,no_approved,0.7096,0.7716,0.895,106,25.8
4,no_edges_no_approved,0.0648,0.0,0.0,2,
