seed,variant,n_relations,pr_auc,precision,recall,false_positives
0,all,4,0.9971,0.9707,0.995,12
0,no_device_id,3,0.997,0.9613,0.9925,16
0,no_ip_id,3,0.9967,0.9727,0.98,11
0,no_bin_id,3,0.9727,0.9617,0.88,14
0,no_email_domain,3,0.9993,0.9614,0.9975,16
1,all,4,0.9984,0.98,0.9825,8
1,no_device_id,3,0.9984,0.9754,0.9925,10
1,no_ip_id,3,0.9954,0.9658,0.9875,14
1,no_bin_id,3,0.9591,0.951,0.825,17
1,no_email_domain,3,0.999,0.9799,0.9775,8
2,all,4,0.995,0.9801,0.9875,8
2,no_device_id,3,0.9962,0.9659,0.99,14
2,no_ip_id,3,0.9877,0.9485,0.9675,21
2,no_bin_id,3,0.9576,0.9013,0.8675,38
2,no_email_domain,3,0.9983,0.9803,0.9975,8
3,all,4,0.9944,0.9638,0.9975,15
3,no_device_id,3,0.9957,0.9591,0.9975,17
3,no_ip_id,3,0.9961,0.9636,0.9925,15
3,no_bin_id,3,0.9802,0.9729,0.8975,10
3,no_email_domain,3,0.9952,0.9684,0.9975,13
4,all,4,0.9866,0.9453,0.95,22
4,no_device_id,3,0.9945,0.9657,0.985,14
4,no_ip_id,3,0.9938,0.9561,0.98,18
4,no_bin_id,3,0.9669,0.9608,0.8575,14
4,no_email_domain,3,0.9918,0.9774,0.975,9
