n_shards,routing,pr_auc,precision,recall,false_positives,missed,decision_cost_inr,edges_kept,duplication
1,"bin_id, no replication",0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0
1,bin_id + replicate d>=2,0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0
1,bin_id + replicate d>=4,0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0
2,"bin_id, no replication",0.9898,0.9661,0.9275,13,29,2637.0,0.6925,1.0
2,bin_id + replicate d>=2,0.9969,0.9381,0.985,26,6,1478.0,0.9707,1.675
2,bin_id + replicate d>=4,0.9965,0.9314,0.985,29,6,1598.0,0.9219,1.468
4,"bin_id, no replication",0.9708,0.9644,0.8125,12,75,5955.0,0.5152,1.0
4,bin_id + replicate d>=2,0.991,0.8578,0.995,66,2,2786.0,0.9072,2.147
4,bin_id + replicate d>=4,0.9905,0.8326,0.995,80,2,3346.0,0.7993,1.747
8,"bin_id, no replication",0.9325,0.9551,0.585,11,166,12558.0,0.4272,1.0
8,bin_id + replicate d>=2,0.9822,0.7299,1.0,148,0,5920.0,0.7775,2.421
8,bin_id + replicate d>=4,0.982,0.7067,1.0,166,0,6640.0,0.664,1.898
16,"bin_id, no replication",0.906,0.9476,0.4525,10,219,16387.0,0.3895,1.0
16,bin_id + replicate d>=2,0.9719,0.5827,0.995,285,2,11546.0,0.6458,2.564
16,bin_id + replicate d>=4,0.9768,0.5862,0.995,281,2,11386.0,0.5649,1.976
