n,k,k_over_n,velocity_detected,koronis_detected,koronis_recall,koronis_pr_auc,campaign_isolated,background_isolated,entity_values_shared_with_background
400,2,0.005,True,True,1.0,1.0,0.0,0.0002,0
400,10,0.025,True,True,1.0,1.0,0.0,0.0002,0
400,50,0.125,False,True,1.0,0.9999,0.0,0.0002,0
400,100,0.25,False,True,1.0,0.9997,0.0,0.0002,0
400,200,0.5,False,True,1.0,0.9991,0.0,0.0002,0
400,400,1.0,False,True,1.0,0.9913,1.0,0.0002,0
400,800,2.0,False,True,1.0,0.9913,1.0,0.0002,0
800,2,0.002,True,True,1.0,1.0,0.0,0.0002,0
800,10,0.012,True,True,1.0,1.0,0.0,0.0002,0
800,50,0.062,True,True,1.0,1.0,0.0,0.0002,0
800,100,0.125,False,True,1.0,0.9999,0.0,0.0002,0
800,200,0.25,False,True,1.0,0.9999,0.0,0.0002,0
800,400,0.5,False,True,1.0,0.9996,0.0,0.0002,0
800,800,1.0,False,True,1.0,0.9958,1.0,0.0002,0
