seed,detector,precision,recall,pr_auc,threshold,detect_s,false_positives,fp_cost_inr,inr_prevented,inr_exposure,ece,fp_reduction_vs_gbdt
0,velocity_tuned,0.0,0.0,0.0625,1.0,,325,13000.0,0.0,29200.0,,1.418
0,decline_burst,0.0,0.0,0.2204,0.3245,,0,0.0,0.0,29200.0,,
0,shared_entity,0.0,0.0,0.0558,17.1114,,34,1360.0,0.0,29200.0,,13.559
0,gbdt_per_txn,0.4013,0.7725,0.3381,0.275,0.0,461,18440.0,29127.0,29200.0,0.0563,1.0
0,koronis_graph,0.9451,0.99,0.991,0.8914,0.0,23,920.0,29127.0,29200.0,0.0051,20.043
1,velocity_tuned,0.0,0.0,0.0625,1.0,,35,1400.0,0.0,29200.0,,14.514
1,decline_burst,0.0,0.0,0.2104,0.3043,,0,0.0,0.0,29200.0,,
1,shared_entity,0.0,0.0,0.0548,17.1351,,34,1360.0,0.0,29200.0,,14.941
1,gbdt_per_txn,0.3713,0.75,0.3123,0.1696,0.0,508,20320.0,29127.0,29200.0,0.0586,1.0
1,koronis_graph,0.9301,0.965,0.9871,0.5903,0.0,29,1160.0,29127.0,29200.0,0.005,17.517
2,velocity_tuned,0.0,0.0,0.0625,16.0,,0,0.0,0.0,29200.0,,
2,decline_burst,0.4062,0.0325,0.2248,0.3024,1494.9,19,760.0,16644.0,29200.0,,28.737
2,shared_entity,0.0,0.0,0.056,17.0603,,28,1120.0,0.0,29200.0,,19.5
2,gbdt_per_txn,0.3739,0.815,0.3121,0.1601,0.0,546,21840.0,29127.0,29200.0,0.0627,1.0
2,koronis_graph,0.9362,0.99,0.9855,0.7644,0.0,27,1080.0,29127.0,29200.0,0.0047,20.222
3,velocity_tuned,0.0,0.0,0.0625,1.0,,68,2720.0,0.0,29200.0,,6.676
3,decline_burst,0.2601,0.1125,0.2355,0.3188,2240.1,128,5120.0,11534.0,29200.0,,3.547
3,shared_entity,0.0,0.0,0.0564,17.1264,,33,1320.0,0.0,29200.0,,13.758
3,gbdt_per_txn,0.4157,0.8075,0.3297,0.2251,0.0,454,18160.0,29127.0,29200.0,0.0521,1.0
3,koronis_graph,0.949,0.9775,0.9919,0.7416,0.0,21,840.0,29127.0,29200.0,0.0038,21.619
4,velocity_tuned,0.0,0.0,0.0625,1.0,,75,3000.0,0.0,29200.0,,6.92
4,decline_burst,0.2297,0.0425,0.2159,0.3023,852.8,57,2280.0,21608.0,29200.0,,9.105
4,shared_entity,0.0,0.0,0.0553,17.168,,38,1520.0,0.0,29200.0,,13.658
4,gbdt_per_txn,0.4014,0.87,0.3249,0.1698,0.0,519,20760.0,29127.0,29200.0,0.0504,1.0
4,koronis_graph,0.9329,0.9725,0.984,0.8231,0.0,28,1120.0,29127.0,29200.0,0.0047,18.536
5,velocity_tuned,0.0,0.0,0.0625,21.0,,0,0.0,0.0,29200.0,,
5,decline_burst,0.0,0.0,0.2199,0.3258,,0,0.0,0.0,29200.0,,
5,shared_entity,0.0,0.0,0.0552,17.1222,,9,360.0,0.0,29200.0,,55.667
5,gbdt_per_txn,0.3993,0.8325,0.3096,0.2053,9.6,501,20040.0,28981.0,29200.0,0.0587,1.0
5,koronis_graph,0.9583,0.9775,0.9926,0.506,9.6,17,680.0,28981.0,29200.0,0.0033,29.471
6,velocity_tuned,0.0,0.0,0.0625,34.0,,0,0.0,0.0,29200.0,,
6,decline_burst,0.2381,0.0125,0.2291,0.3182,2755.6,16,640.0,6132.0,29200.0,,29.875
6,shared_entity,0.0,0.0,0.0555,17.1492,,38,1520.0,0.0,29200.0,,12.579
6,gbdt_per_txn,0.4164,0.8525,0.3393,0.2269,0.0,478,19120.0,29127.0,29200.0,0.0568,1.0
6,koronis_graph,0.9416,0.9675,0.9836,0.8214,0.0,24,960.0,29127.0,29200.0,0.0046,19.917
7,velocity_tuned,0.0,0.0,0.0625,1.0,,40,1600.0,0.0,29200.0,,11.9
7,decline_burst,0.2804,0.075,0.2173,0.2907,856.9,77,3080.0,22484.0,29200.0,,6.182
7,shared_entity,0.0,0.0,0.0546,17.1046,,43,1720.0,0.0,29200.0,,11.07
7,gbdt_per_txn,0.389,0.7575,0.3154,0.2397,0.0,476,19040.0,29127.0,29200.0,0.0556,1.0
7,koronis_graph,0.9645,0.95,0.9887,0.8779,0.0,14,560.0,29127.0,29200.0,0.0029,34.0
8,velocity_tuned,0.0,0.0,0.0625,1.0,,47,1880.0,0.0,29200.0,,10.596
8,decline_burst,0.0,0.0,0.2289,0.3366,,0,0.0,0.0,29200.0,,
8,shared_entity,0.0,0.0,0.0538,17.1504,,36,1440.0,0.0,29200.0,,13.833
8,gbdt_per_txn,0.3964,0.8175,0.3225,0.1902,0.6,498,19920.0,29054.0,29200.0,0.0625,1.0
8,koronis_graph,0.9507,0.965,0.9895,0.7902,0.0,20,800.0,29127.0,29200.0,0.0032,24.9
9,velocity_tuned,0.0,0.0,0.0625,1.0,,143,5720.0,0.0,29200.0,,3.364
9,decline_burst,0.2381,0.0125,0.2208,0.3153,1129.4,16,640.0,20148.0,29200.0,,30.062
9,shared_entity,0.0,0.0,0.0558,16.9347,,40,1600.0,0.0,29200.0,,12.025
9,gbdt_per_txn,0.3526,0.655,0.2837,0.2157,0.0,481,19240.0,29127.0,29200.0,0.0595,1.0
9,koronis_graph,0.9485,0.9675,0.9872,0.5561,0.0,21,840.0,29127.0,29200.0,0.0034,22.905
