seed,variant,select_cost_inr,select_pr_auc,test_cost_inr,test_pr_auc,test_precision,test_recall,test_false_positives
0,full,859.0,0.9975,626.0,0.9971,0.9707,0.995,12
0,no_device,866.0,0.9985,859.0,0.997,0.9613,0.9925,16
0,no_email,979.0,0.998,713.0,0.9993,0.9614,0.9975,16
0,no_device_no_email,779.0,0.9987,692.0,0.997,0.9754,0.99,10
0,no_gate,979.0,0.9961,673.0,0.9971,0.9638,0.9975,15
0,no_device_no_gate,819.0,0.998,918.0,0.9963,0.9704,0.985,12
0,no_email_no_gate,845.0,0.9983,645.0,0.999,0.9826,0.9875,7
0,lean,779.0,0.9983,838.0,0.9962,0.9752,0.985,10
1,full,779.0,0.9984,831.0,0.9984,0.98,0.9825,8
1,no_device,739.0,0.9979,619.0,0.9984,0.9754,0.9925,10
1,no_email,473.0,0.9992,977.0,0.999,0.9799,0.9775,8
1,no_device_no_email,586.0,0.999,240.0,0.9987,0.9852,1.0,6
1,no_gate,1351.0,0.9895,2373.0,0.9766,0.9475,0.9475,21
1,no_device_no_gate,859.0,0.998,513.0,0.9981,0.9732,0.9975,11
1,no_email_no_gate,906.0,0.9965,1071.0,0.9956,0.9656,0.9825,14
1,lean,619.0,0.999,313.0,0.9992,0.9852,0.9975,6
2,full,772.0,0.9963,685.0,0.995,0.9801,0.9875,8
2,no_device,786.0,0.9981,852.0,0.9962,0.9659,0.99,14
2,no_email,520.0,0.999,393.0,0.9983,0.9803,0.9975,8
2,no_device_no_email,553.0,0.9991,459.0,0.9979,0.9851,0.9925,6
2,no_gate,833.0,0.9965,979.0,0.9979,0.9543,0.9925,19
2,no_device_no_gate,819.0,0.9985,739.0,0.9973,0.9683,0.9925,13
2,no_email_no_gate,466.0,0.9994,379.0,0.9993,0.99,0.9925,4
2,lean,513.0,0.999,499.0,0.9986,0.9827,0.9925,7
3,full,440.0,0.9993,673.0,0.9944,0.9638,0.9975,15
3,no_device,713.0,0.9989,753.0,0.9957,0.9591,0.9975,17
3,no_email,400.0,0.9996,593.0,0.9952,0.9684,0.9975,13
3,no_device_no_email,360.0,0.9991,513.0,0.9946,0.9732,0.9975,11
3,no_gate,400.0,0.9969,626.0,0.995,0.9707,0.995,12
3,no_device_no_gate,433.0,0.9988,739.0,0.9935,0.9683,0.9925,13
3,no_email_no_gate,320.0,0.9997,546.0,0.9957,0.9755,0.995,10
3,lean,440.0,0.9988,633.0,0.9946,0.9661,0.9975,14
4,full,1855.0,0.9948,2340.0,0.9866,0.9453,0.95,22
4,no_device,965.0,0.9977,998.0,0.9945,0.9657,0.985,14
4,no_email,692.0,0.9968,1090.0,0.9918,0.9774,0.975,9
4,no_device_no_email,732.0,0.9989,1283.0,0.9962,0.9701,0.9725,12
4,no_gate,1490.0,0.996,1643.0,0.9923,0.9488,0.9725,21
4,no_device_no_gate,805.0,0.998,1754.0,0.9953,0.972,0.955,11
4,no_email_no_gate,440.0,0.9993,805.0,0.9978,0.9729,0.9875,11
4,lean,845.0,0.9985,1356.0,0.9946,0.97,0.97,12
