n_shards,strategy,pr_auc,precision,recall,false_positives,missed,decision_cost_inr,edges_kept,bin_edges_kept,device_edges_kept,largest_shard_share
1,random,0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0,1.0,1.0
1,bin_id,0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0,1.0,1.0
1,device_id,0.9968,0.9587,0.9875,17,5,1045.0,1.0,1.0,1.0,1.0
2,random,0.9806,0.9002,0.9475,42,21,3213.0,0.5001,0.4999,0.4957,0.5011
2,bin_id,0.9898,0.9661,0.9275,13,29,2637.0,0.6925,1.0,0.541,0.6395
2,device_id,0.991,0.8742,0.99,57,4,2572.0,0.5064,0.5014,1.0,0.5138
4,random,0.9273,0.8247,0.9175,78,33,5529.0,0.2501,0.2502,0.2334,0.2528
4,bin_id,0.9708,0.9644,0.8125,12,75,5955.0,0.5152,1.0,0.2897,0.3547
4,device_id,0.9791,0.7734,0.99,116,4,4932.0,0.2596,0.2518,1.0,0.2666
8,random,0.8479,0.7267,0.8975,135,41,8393.0,0.1251,0.1249,0.1242,0.1286
8,bin_id,0.9325,0.9551,0.585,11,166,12558.0,0.4272,1.0,0.1509,0.2238
8,device_id,0.9616,0.6149,0.99,248,4,10212.0,0.1355,0.1254,1.0,0.1347
16,random,0.7452,0.654,0.9025,191,39,10487.0,0.062,0.0621,0.0577,0.0673
16,bin_id,0.906,0.9476,0.4525,10,219,16387.0,0.3895,1.0,0.0863,0.1847
16,device_id,0.9404,0.4907,0.9925,412,3,16699.0,0.0739,0.0627,1.0,0.0698
